country,year,nitrous_oxide,government_expenditure_on_education,forest_area,agricultural_land,total_population,population_growth,renewable_energy_consumption,GDP,inflation,renewable_electricity
Aruba,2020,,,,,,,,,,
Aruba,2019,,,,,,,,,,
Aruba,2018,,,,,,,,,,
Aruba,2017,,,,,,,,,,
Aruba,2016,,,,,,,,,,
Aruba,2015,,,,,,,,,,
Aruba,2014,,,,,,,,,,
Aruba,2013,,,,,,,,,,
Aruba,2012,,,,,,,,,,
Aruba,2011,,,,,,,,,,
Aruba,2010,,,,,,,,,,
Aruba,2009,,,,,,,,,,
Aruba,2008,,,,,,,,,,
Aruba,2007,,,,,,,,,,
Aruba,2006,,,,,,,,,,
Aruba,2005,,,,,,,,,,
Aruba,2004,,,,,,,,,,
Aruba,2003,,,,,,,,,,
Aruba,2002,,,,,,,,,,
Aruba,2001,,,,,,,,,,
Aruba,2000,,,,,,,,,,
Aruba,1999,,,,,,,,,,
Aruba,1998,,,,,,,,,,
Aruba,1997,,,,,,,,,,
Aruba,1996,,,,,,,,,,
Aruba,1995,,,,,,,,,,
Aruba,1994,,,,,,,,,,
Aruba,1993,,,,,,,,,,
Aruba,1992,,,,,,,,,,
Aruba,1991,,,,,,,,,,
Aruba,1990,,,,,,,,,,
American Samoa,2020,,,,,,,,,,
American Samoa,2019,,,,,,,,,,
American Samoa,2018,,,,,,,,,,
American Samoa,2017,,,,,,,,,,
American Samoa,2016,,,,,,,,,,
American Samoa,2015,,,,,,,,,,
American Samoa,2014,,,,,,,,,,
American Samoa,2013,,,,,,,,,,
American Samoa,2012,,,,,,,,,,
American Samoa,2011,,,,,,,,,,
American Samoa,2010,,,,,,,,,,
American Samoa,2009,,,,,,,,,,
American Samoa,2008,,,,,,,,,,
American Samoa,2007,,,,,,,,,,
American Samoa,2006,,,,,,,,,,
American Samoa,2005,,,,,,,,,,
American Samoa,2004,,,,,,,,,,
American Samoa,2003,,,,,,,,,,
American Samoa,2002,,,,,,,,,,
American Samoa,2001,,,,,,,,,,
American Samoa,2000,,,,,,,,,,
American Samoa,1999,,,,,,,,,,
American Samoa,1998,,,,,,,,,,
American Samoa,1997,,,,,,,,,,
American Samoa,1996,,,,,,,,,,
American Samoa,1995,,,,,,,,,,
American Samoa,1994,,,,,,,,,,
American Samoa,1993,,,,,,,,,,
American Samoa,1992,,,,,,,,,,
American Samoa,1991,,,,,,,,,,
American Samoa,1990,,,,,,,,,,
Bosnia and Herzegovina,2020,1283.7036,,,,,,,,,
Bosnia and Herzegovina,2019,1268.3666,,,,,,,,,
Bosnia and Herzegovina,2018,1282.6468,,,,,,,,,
Bosnia and Herzegovina,2017,1361.9728,,,,,,,,,
Bosnia and Herzegovina,2016,1365.482,,,,,,,,,
Bosnia and Herzegovina,2015,1486.454,,,,,,,,,
Bosnia and Herzegovina,2014,1435.9036,,,,,,,,,
Bosnia and Herzegovina,2013,1339.0324,,,,,,,,,
Bosnia and Herzegovina,2012,1424.8706,,,,,,,,,
Bosnia and Herzegovina,2011,1343.3992,,,,,,,,,
Bosnia and Herzegovina,2010,1204.4254,,,,,,,,,
Bosnia and Herzegovina,2009,1229.9184,,,,,,,,,
Bosnia and Herzegovina,2008,1092.4722,,,,,,,,,
Bosnia and Herzegovina,2007,949.2668,,,,,,,,,
Bosnia and Herzegovina,2006,990.4316,,,,,,,,,
Bosnia and Herzegovina,2005,995.8486,,,,,,,,,
Bosnia and Herzegovina,2004,973.2456,,,,,,,,,
Bosnia and Herzegovina,2003,775.0164,,,,,,,,,
Bosnia and Herzegovina,2002,810.1612,,,,,,,,,
Bosnia and Herzegovina,2001,820.96,,,,,,,,,
Bosnia and Herzegovina,2000,886.9392,,,,,,,,,
Bosnia and Herzegovina,1999,856.154,,,,,,,,,
Bosnia and Herzegovina,1998,805.6974,,,,,,,,,
Bosnia and Herzegovina,1997,632.4388,,,,,,,,,
Bosnia and Herzegovina,1996,511.385,,,,,,,,,
Bosnia and Herzegovina,1995,580.4228,,,,,,,,,
Bosnia and Herzegovina,1994,679.8488,,,,,,,,,
Bosnia and Herzegovina,1993,802.6498,,,,,,,,,
Bosnia and Herzegovina,1992,893.5772,,,,,,,,,
Bosnia and Herzegovina,1991,993.433092,,,,,,,,,
Bosnia and Herzegovina,1990,1125.552019,,,,,,,,,
Central African Republic,2020,10628.57907,,,,,,,,,
Central African Republic,2019,10056.09004,,,,,,,,,
Central African Republic,2018,10939.42042,,,,,,,,,
Central African Republic,2017,10692.52619,,,,,,,,,
Central African Republic,2016,11585.51177,,,,,,,,,
Central African Republic,2015,10741.57454,,,,,,,,,
Central African Republic,2014,10602.91399,,,,,,,,,
Central African Republic,2013,10859.46104,,,,,,,,,
Central African Republic,2012,10220.84589,,,,,,,,,
Central African Republic,2011,11739.48253,,,,,,,,,
Central African Republic,2010,11164.16258,,,,,,,,,
Central African Republic,2009,10059.80095,,,,,,,,,
Central African Republic,2008,12448.47611,,,,,,,,,
Central African Republic,2007,11793.43887,,,,,,,,,
Central African Republic,2006,11666.66624,,,,,,,,,
Central African Republic,2005,11628.8466,,,,,,,,,
Central African Republic,2004,11116.22775,,,,,,,,,
Central African Republic,2003,12497.07111,,,,,,,,,
Central African Republic,2002,9841.057458,,,,,,,,,
Central African Republic,2001,11032.81981,,,,,,,,,
Central African Republic,2000,13051.59176,,,,,,,,,
Central African Republic,1999,11530.78529,,,,,,,,,
Central African Republic,1998,12769.90582,,,,,,,,,
Central African Republic,1997,11758.32174,,,,,,,,,
Central African Republic,1996,11684.39467,,,,,,,,,
Central African Republic,1995,10549.1108,,,,,,,,,
Central African Republic,1994,10501.52614,,,,,,,,,
Central African Republic,1993,8078.136486,,,,,,,,,
Central African Republic,1992,8059.93463,,,,,,,,,
Central African Republic,1991,8043.908173,,,,,,,,,
Central African Republic,1990,7925.190917,,,,,,,,,
Ecuador,2020,5192.81053,,,,,,,,,
Ecuador,2019,5276.364039,,,,,,,,,
Ecuador,2018,5209.686148,,,,,,,,,
Ecuador,2017,5126.290858,,,,,,,,,
Ecuador,2016,5092.811567,,,,,,,,,
Ecuador,2015,4836.405076,,,,,,,,,
Ecuador,2014,5316.232751,,,,,,,,,
Ecuador,2013,5385.237826,,,,,,,,,
Ecuador,2012,5416.9395,,,,,,,,,
Ecuador,2011,5556.512175,,,,,,,,,
Ecuador,2010,5483.01785,,,,,,,,,
Ecuador,2009,5204.993837,,,,,,,,,
Ecuador,2008,4964.530025,,,,,,,,,
Ecuador,2007,4585.073012,,,,,,,,,
Ecuador,2006,4860.215,,,,,,,,,
Ecuador,2005,4760.054533,,,,,,,,,
Ecuador,2004,4969.865067,,,,,,,,,
Ecuador,2003,4763.0732,,,,,,,,,
Ecuador,2002,4836.471733,,,,,,,,,
Ecuador,2001,5339.138667,,,,,,,,,
Ecuador,2000,4095.1564,,,,,,,,,
Ecuador,1999,4362.529533,,,,,,,,,
Ecuador,1998,4712.870667,,,,,,,,,
Ecuador,1997,4903.0026,,,,,,,,,
Ecuador,1996,4542.264933,,,,,,,,,
Ecuador,1995,4275.827067,,,,,,,,,
Ecuador,1994,4204.0786,,,,,,,,,
Ecuador,1993,4089.5636,,,,,,,,,
Ecuador,1992,3958.8066,,,,,,,,,
Ecuador,1991,3812.479,,,,,,,,,
Ecuador,1990,3680.1494,,,,,,,,,
"Gambia, The",2020,359.1794,,,,,,,,,
"Gambia, The",2019,341.508,,,,,,,,,
"Gambia, The",2018,348.809,,,,,,,,,
"Gambia, The",2017,340.6438,,,,,,,,,
"Gambia, The",2016,336.7996,,,,,,,,,
"Gambia, The",2015,337.9022,,,,,,,,,
"Gambia, The",2014,335.6672,,,,,,,,,
"Gambia, The",2013,323.2406,,,,,,,,,
"Gambia, The",2012,307.5062,,,,,,,,,
"Gambia, The",2011,345.4714,,,,,,,,,
"Gambia, The",2010,375.8078,,,,,,,,,
"Gambia, The",2009,372.7384,,,,,,,,,
"Gambia, The",2008,348.6898,,,,,,,,,
"Gambia, The",2007,350.1202,,,,,,,,,
"Gambia, The",2006,354.3518,,,,,,,,,
"Gambia, The",2005,332.3594,,,,,,,,,
"Gambia, The",2004,320.35,,,,,,,,,
"Gambia, The",2003,298.1788,,,,,,,,,
"Gambia, The",2002,264.0578,,,,,,,,,
"Gambia, The",2001,269.3026,,,,,,,,,
"Gambia, The",2000,307.1486,,,,,,,,,
"Gambia, The",1999,283.249,,,,,,,,,
"Gambia, The",1998,307.5062,,,,,,,,,
"Gambia, The",1997,285.2158,,,,,,,,,
"Gambia, The",1996,300.5628,,,,,,,,,
"Gambia, The",1995,284.7092,,,,,,,,,
"Gambia, The",1994,283.3682,,,,,,,,,
"Gambia, The",1993,282.3252,,,,,,,,,
"Gambia, The",1992,281.4908,,,,,,,,,
"Gambia, The",1991,283.4874,,,,,,,,,
"Gambia, The",1990,269.8688,,,,,,,,,
Iraq,2020,5439.691289,,,,,,,,,
Iraq,2019,5557.485572,,,,,,,,,
Iraq,2018,4724.945854,,,,,,,,,
Iraq,2017,4711.387136,,,,,,,,,
Iraq,2016,4129.297218,,,,,,,,,
Iraq,2015,3771.3541,,,,,,,,,
Iraq,2014,4702.260279,,,,,,,,,
Iraq,2013,5215.721658,,,,,,,,,
Iraq,2012,5200.220438,,,,,,,,,
Iraq,2011,4947.907617,,,,,,,,,
Iraq,2010,4629.448796,,,,,,,,,
Iraq,2009,4710.378188,,,,,,,,,
Iraq,2008,4040.451381,,,,,,,,,
Iraq,2007,3667.686973,,,,,,,,,
Iraq,2006,3797.524765,,,,,,,,,
Iraq,2005,3859.626357,,,,,,,,,
Iraq,2004,3300.671906,,,,,,,,,
Iraq,2003,2966.643855,,,,,,,,,
Iraq,2002,6086.449404,,,,,,,,,
Iraq,2001,5902.048553,,,,,,,,,
Iraq,2000,4239.737302,,,,,,,,,
Iraq,1999,4169.250381,,,,,,,,,
Iraq,1998,4329.80726,,,,,,,,,
Iraq,1997,4233.016139,,,,,,,,,
Iraq,1996,4017.543818,,,,,,,,,
Iraq,1995,4113.042896,,,,,,,,,
Iraq,1994,4400.663769,,,,,,,,,
Iraq,1993,4496.511042,,,,,,,,,
